               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029725,            0.012905,           0.0027178,             0.89794,             0.85297,              0.8885,             0.60793,            0.028298,            0.011614,             0.00189,             0.00307,             0.00307,             0.00307
                  37,            0.028044,            0.012888,           0.0024338,             0.91437,             0.81112,             0.89429,             0.60538,            0.028447,            0.011445,            0.001604,            0.002872,            0.002872,            0.002872
                  38,             0.02792,             0.01213,           0.0024511,             0.86486,             0.86297,             0.88085,             0.61465,            0.028764,            0.011249,          0.00097839,            0.002674,            0.002674,            0.002674
                  39,            0.027307,            0.012722,           0.0023297,             0.91176,             0.85225,             0.90007,             0.61846,            0.026887,            0.011284,           0.0011791,            0.002476,            0.002476,            0.002476
                  40,             0.02773,             0.01184,           0.0026437,             0.91298,             0.84795,             0.89564,             0.61231,            0.027743,            0.011198,           0.0011511,            0.002278,            0.002278,            0.002278
                  41,            0.026657,            0.012117,           0.0022552,              0.9527,             0.83823,              0.9039,             0.62395,            0.026547,             0.01108,           0.0010494,             0.00208,             0.00208,             0.00208
                  42,            0.026681,             0.01205,           0.0023452,             0.94341,              0.8518,             0.90772,             0.63411,            0.026085,            0.011036,           0.0010462,            0.001882,            0.001882,            0.001882
                  43,            0.026037,            0.012173,           0.0024199,               0.922,             0.85129,             0.90596,             0.62731,            0.026248,            0.010751,           0.0010876,            0.001684,            0.001684,            0.001684
                  44,            0.025596,            0.011574,           0.0017702,             0.93607,              0.8578,             0.91559,             0.64492,            0.026094,            0.010887,           0.0011043,            0.001486,            0.001486,            0.001486
                  45,            0.025865,            0.012404,           0.0020341,             0.90954,             0.87006,             0.91051,              0.6416,             0.02598,            0.010794,           0.0010781,            0.001288,            0.001288,            0.001288
                  46,            0.024956,            0.011438,           0.0018755,             0.91962,             0.84517,             0.90937,             0.63526,            0.026007,            0.010722,           0.0010918,             0.00109,             0.00109,             0.00109
                  47,            0.024651,            0.011387,           0.0020465,             0.92933,             0.86222,             0.91129,             0.64718,            0.025663,            0.010712,           0.0010132,            0.000892,            0.000892,            0.000892
                  48,            0.024848,            0.011493,           0.0018998,             0.92796,             0.86392,              0.9047,             0.64711,            0.025504,            0.010648,            0.001097,            0.000694,            0.000694,            0.000694
                  49,            0.024707,            0.011718,           0.0019318,              0.9018,             0.89159,             0.92158,             0.65881,            0.024999,            0.010341,          0.00091638,            0.000496,            0.000496,            0.000496
