               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092661,            0.053005,            0.037556,          0.00011111,            0.066667,          6.7039e-05,           2.263e-05,            0.074001,            0.040225,            0.036165,            0.070476,           0.0032804,           0.0032804
                   1,            0.080948,            0.037697,            0.035635,          0.00039494,           0.0066667,          0.00021658,          3.2713e-05,            0.072278,             0.03664,            0.035589,            0.040345,           0.0064828,           0.0064828
                   2,             0.07779,            0.036051,            0.034727,          0.00078579,            0.021957,           0.0004034,           0.0001097,            0.083339,            0.029757,            0.038588,            0.010082,           0.0095532,           0.0095532
                   3,            0.075816,            0.034461,            0.033594,           0.0025545,            0.096391,           0.0013944,           0.0003364,            0.070509,            0.034298,            0.034756,            0.009406,            0.009406,            0.009406
                   4,            0.072984,            0.034786,            0.031802,            0.003677,             0.63235,            0.018635,           0.0039554,            0.068114,            0.030747,            0.030709,            0.009406,            0.009406,            0.009406
                   5,            0.068573,            0.033411,             0.02865,             0.68598,            0.036667,            0.013319,             0.00387,            0.067572,            0.034089,            0.024988,            0.009208,            0.009208,            0.009208
                   6,            0.066263,            0.032865,            0.024392,           0.0039352,             0.22064,           0.0035508,           0.0012405,             0.07702,            0.030906,            0.030843,             0.00901,             0.00901,             0.00901
                   7,            0.064505,            0.030142,            0.018777,             0.56972,             0.22638,              0.1846,            0.060355,            0.061945,            0.028088,            0.015735,            0.008812,            0.008812,            0.008812
                   8,            0.060554,            0.029081,             0.01674,             0.30129,             0.25835,             0.22225,            0.095051,              0.0575,            0.031399,              0.0153,            0.008614,            0.008614,            0.008614
                   9,            0.057172,            0.027878,            0.013382,             0.34315,             0.27306,             0.21316,            0.086568,            0.058007,            0.028814,            0.011446,            0.008416,            0.008416,            0.008416
                  10,            0.055053,            0.026565,            0.011613,             0.52746,             0.47093,              0.4816,             0.24357,            0.049172,            0.025042,           0.0082868,            0.008218,            0.008218,            0.008218
