               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098479,            0.031267,            0.037515,          0.00032989,             0.19667,          0.00051793,          0.00014059,            0.085218,            0.029764,            0.036618,            0.070476,           0.0032804,           0.0032804
                   1,            0.090048,            0.029695,            0.035668,          0.00033075,             0.19667,          0.00034852,          0.00010047,            0.083059,            0.028837,            0.036248,            0.040411,           0.0065483,           0.0065483
                   2,            0.087252,            0.029774,            0.034688,          0.00062311,             0.19333,          0.00055377,          0.00015282,            0.083588,            0.028218,             0.03604,            0.010279,           0.0097501,           0.0097501
                   3,            0.086284,            0.028824,            0.033893,           0.0010666,             0.20667,           0.0011937,          0.00037534,            0.083457,            0.027384,             0.03544,            0.009703,            0.009703,            0.009703
                   4,            0.085106,            0.029596,            0.032383,          0.00062234,             0.19667,          0.00080706,          0.00025449,            0.086513,            0.026158,            0.035316,            0.009703,            0.009703,            0.009703
                   5,            0.081498,            0.029555,            0.031331,           0.0015725,             0.18306,           0.0017706,           0.0005593,            0.081665,             0.02973,            0.031938,            0.009604,            0.009604,            0.009604
                   6,            0.076729,            0.030199,            0.029654,            0.011304,             0.14917,            0.026943,           0.0074384,            0.077707,            0.026926,            0.030481,            0.009505,            0.009505,            0.009505
                   7,            0.070404,             0.02884,            0.026665,             0.42118,             0.10667,            0.062353,            0.020907,            0.072564,            0.025796,            0.027429,            0.009406,            0.009406,            0.009406
                   8,            0.067479,            0.026987,            0.022419,             0.56896,             0.27333,             0.20086,            0.078424,            0.062673,            0.025459,            0.021455,            0.009307,            0.009307,            0.009307
                   9,            0.064595,            0.026136,              0.0186,             0.61851,             0.20074,             0.18319,            0.068891,            0.065397,            0.025023,            0.021188,            0.009208,            0.009208,            0.009208
                  10,            0.060419,             0.02427,            0.014706,             0.74068,             0.31667,             0.36159,             0.15753,            0.056982,            0.023494,            0.013529,            0.009109,            0.009109,            0.009109
                  11,            0.059319,            0.023008,            0.012785,             0.36323,             0.36867,             0.36671,              0.1682,            0.058574,            0.022431,            0.012003,             0.00901,             0.00901,             0.00901
                  12,            0.054898,            0.021518,            0.010813,             0.78641,                0.42,             0.45715,             0.18278,            0.055333,            0.020394,           0.0099513,            0.008911,            0.008911,            0.008911
                  13,            0.053725,            0.020195,           0.0099807,              0.8029,             0.41647,             0.48952,             0.24725,            0.050291,             0.02027,            0.010998,            0.008812,            0.008812,            0.008812
                  14,            0.050165,             0.02035,           0.0082604,             0.81071,             0.51807,             0.62467,             0.32573,            0.044537,            0.018615,           0.0068326,            0.008713,            0.008713,            0.008713
                  15,            0.048528,            0.018883,           0.0077495,             0.79971,             0.54161,             0.65086,             0.35037,            0.043439,            0.018937,           0.0070061,            0.008614,            0.008614,            0.008614
                  16,            0.048304,             0.01856,           0.0070552,             0.84926,                0.51,             0.64114,              0.2939,            0.048238,            0.019427,            0.011535,            0.008515,            0.008515,            0.008515
                  17,            0.046493,            0.018414,           0.0067359,             0.66969,             0.63725,             0.66544,             0.29241,            0.046624,            0.016254,           0.0053974,            0.008416,            0.008416,            0.008416
                  18,            0.045068,             0.01773,           0.0059522,             0.76869,             0.62849,             0.68992,             0.39669,            0.041646,            0.016737,            0.005797,            0.008317,            0.008317,            0.008317
                  19,            0.042812,            0.017345,           0.0061254,             0.81863,             0.68761,             0.74141,             0.46035,            0.038222,            0.015382,           0.0049594,            0.008218,            0.008218,            0.008218
                  20,            0.042123,            0.016189,           0.0055752,             0.81007,             0.70541,             0.75465,             0.43679,            0.038048,            0.015281,           0.0044934,            0.008119,            0.008119,            0.008119
                  21,            0.040941,            0.016117,           0.0049768,             0.76772,             0.73402,             0.77833,             0.48448,            0.036383,            0.014625,           0.0037567,             0.00802,             0.00802,             0.00802
                  22,             0.03883,            0.015731,           0.0046783,             0.88177,             0.74107,             0.80346,             0.46678,            0.035499,            0.013914,           0.0038123,            0.007921,            0.007921,            0.007921
                  23,            0.039319,            0.015426,           0.0041395,             0.86777,             0.71637,             0.80007,             0.48672,            0.036046,            0.014319,            0.003103,            0.007822,            0.007822,            0.007822
                  24,            0.038387,            0.015202,           0.0042184,             0.83882,             0.74739,             0.80064,             0.48471,            0.036141,            0.013375,           0.0033227,            0.007723,            0.007723,            0.007723
                  25,            0.037649,            0.014739,           0.0039744,             0.85859,             0.79863,             0.84566,             0.52215,            0.033994,            0.013369,           0.0029184,            0.007624,            0.007624,            0.007624
                  26,            0.036667,            0.014668,           0.0036783,             0.90187,             0.78748,              0.8437,             0.55187,            0.031754,            0.013079,           0.0028282,            0.007525,            0.007525,            0.007525
                  27,            0.034909,            0.014746,           0.0037312,             0.90361,             0.79155,             0.86588,             0.49434,            0.034028,            0.013062,           0.0024645,            0.007426,            0.007426,            0.007426
                  28,             0.03532,            0.014468,           0.0037759,             0.92421,             0.79202,             0.86625,             0.54879,             0.03157,            0.012893,           0.0026804,            0.007327,            0.007327,            0.007327
                  29,            0.033968,            0.013838,           0.0034708,             0.86362,               0.791,             0.85344,             0.53153,            0.032207,            0.012724,           0.0025706,            0.007228,            0.007228,            0.007228
                  30,            0.033403,            0.014073,            0.003251,             0.89238,             0.79257,             0.86193,             0.57446,            0.030688,            0.012524,            0.002206,            0.007129,            0.007129,            0.007129
                  31,            0.031954,            0.013042,           0.0029253,             0.89899,             0.78654,             0.85839,             0.55703,            0.031142,            0.012912,           0.0023863,             0.00703,             0.00703,             0.00703
                  32,            0.032762,            0.013368,           0.0032004,              0.9248,             0.78442,             0.86388,             0.55652,            0.030703,            0.012862,            0.002371,            0.006931,            0.006931,            0.006931
                  33,            0.031946,            0.013031,           0.0032829,             0.91485,             0.78888,             0.86842,             0.58245,            0.032267,             0.01262,            0.001767,            0.006832,            0.006832,            0.006832
                  34,            0.032015,            0.013442,           0.0032704,             0.92527,              0.8201,             0.88757,             0.60969,              0.0289,            0.012149,           0.0018681,            0.006733,            0.006733,            0.006733
                  35,             0.03122,            0.012355,           0.0028617,             0.90073,             0.84211,             0.89832,             0.61397,            0.028543,            0.011933,           0.0019532,            0.006634,            0.006634,            0.006634
                  36,            0.030349,            0.012766,           0.0026715,             0.91876,              0.8185,             0.89755,              0.6041,            0.028886,            0.011885,           0.0016783,            0.006535,            0.006535,            0.006535
                  37,            0.031155,            0.012929,           0.0026472,             0.91409,             0.80154,             0.85669,             0.56373,            0.031238,            0.012248,           0.0031325,            0.006436,            0.006436,            0.006436
                  38,            0.029338,            0.012185,           0.0027651,             0.94988,             0.83999,             0.89456,              0.6056,            0.028848,            0.011519,           0.0019036,            0.006337,            0.006337,            0.006337
                  39,            0.029079,            0.012691,           0.0024113,             0.93958,             0.82128,             0.89904,               0.596,            0.028376,            0.011616,           0.0015414,            0.006238,            0.006238,            0.006238
                  40,            0.029022,            0.011976,            0.002968,             0.94716,             0.82375,             0.89157,             0.60395,            0.028409,            0.011647,           0.0017563,            0.006139,            0.006139,            0.006139
                  41,            0.029609,            0.012369,           0.0026293,             0.95049,              0.8291,             0.91108,             0.62596,            0.027375,            0.011271,           0.0015041,             0.00604,             0.00604,             0.00604
                  42,            0.029106,            0.012203,           0.0027429,             0.95771,             0.82707,              0.9083,             0.63315,            0.026681,            0.011025,           0.0022528,            0.005941,            0.005941,            0.005941
                  43,            0.028481,            0.012332,           0.0027056,             0.93848,             0.86018,             0.91972,             0.62442,            0.027201,            0.010751,           0.0014153,            0.005842,            0.005842,            0.005842
                  44,            0.027738,            0.011574,           0.0019239,             0.91582,             0.85153,             0.91068,             0.61984,            0.027657,            0.011123,           0.0016501,            0.005743,            0.005743,            0.005743
                  45,            0.028712,            0.012474,           0.0022564,             0.95806,             0.83495,             0.90655,             0.61234,            0.026934,            0.011078,           0.0019849,            0.005644,            0.005644,            0.005644
                  46,            0.026812,            0.011487,           0.0022365,             0.94408,             0.82349,             0.91102,             0.63629,            0.026253,            0.011241,           0.0021363,            0.005545,            0.005545,            0.005545
                  47,            0.027214,            0.011481,           0.0023032,             0.95457,             0.83486,             0.91052,             0.62945,            0.026306,            0.010849,           0.0016212,            0.005446,            0.005446,            0.005446
                  48,            0.027285,            0.011552,           0.0020841,             0.94446,              0.8548,             0.91843,             0.64067,            0.026587,            0.010682,           0.0017059,            0.005347,            0.005347,            0.005347
                  49,            0.026903,            0.011691,           0.0021777,             0.92391,             0.86178,             0.91359,             0.63822,            0.025507,            0.010503,           0.0023534,            0.005248,            0.005248,            0.005248
                  50,             0.02545,            0.010935,           0.0021195,             0.95296,             0.85086,             0.91607,             0.64612,            0.024989,            0.010373,             0.00106,            0.005149,            0.005149,            0.005149
                  51,            0.025677,            0.011165,           0.0019151,             0.95336,             0.86963,             0.92263,             0.63478,            0.025737,            0.010341,           0.0010834,             0.00505,             0.00505,             0.00505
                  52,            0.025912,            0.010999,           0.0019993,             0.91245,             0.87575,             0.91701,             0.63746,            0.025259,            0.010486,           0.0011194,            0.004951,            0.004951,            0.004951
                  53,            0.025413,            0.011111,           0.0018799,             0.95714,             0.86842,             0.92445,             0.64665,            0.024944,            0.010237,           0.0011175,            0.004852,            0.004852,            0.004852
                  54,            0.024704,            0.010429,           0.0019465,             0.95443,             0.88003,             0.93812,             0.66772,            0.023963,           0.0098397,          0.00088961,            0.004753,            0.004753,            0.004753
                  55,             0.02464,            0.010295,           0.0018939,             0.95474,             0.86936,             0.93273,             0.65378,            0.024916,           0.0098371,           0.0010369,            0.004654,            0.004654,            0.004654
                  56,            0.025111,            0.010875,             0.00182,             0.94362,              0.8852,             0.92868,             0.64831,            0.025255,           0.0099376,           0.0011154,            0.004555,            0.004555,            0.004555
                  57,             0.02418,            0.010155,           0.0017324,             0.93891,             0.88127,             0.93266,             0.65617,            0.024609,            0.009948,          0.00099468,            0.004456,            0.004456,            0.004456
                  58,            0.024007,            0.010519,           0.0016782,             0.94358,              0.8601,             0.91804,             0.64538,            0.024775,            0.010431,           0.0011434,            0.004357,            0.004357,            0.004357
                  59,            0.023539,            0.010665,           0.0016571,             0.93933,             0.89924,             0.94148,             0.66361,            0.024114,            0.009684,           0.0011959,            0.004258,            0.004258,            0.004258
                  60,            0.023066,            0.010256,           0.0016919,             0.93298,             0.91403,             0.94883,             0.66357,            0.023613,           0.0095085,          0.00085515,            0.004159,            0.004159,            0.004159
                  61,            0.023887,            0.010218,           0.0016987,             0.94395,             0.91705,             0.94391,             0.66532,            0.024278,           0.0095132,          0.00089318,             0.00406,             0.00406,             0.00406
                  62,            0.023388,            0.010193,           0.0014711,             0.93407,             0.89445,             0.93142,              0.6688,            0.023748,            0.010012,          0.00097791,            0.003961,            0.003961,            0.003961
                  63,            0.023638,            0.010387,           0.0015367,             0.92241,             0.89902,             0.94072,             0.67294,            0.024012,           0.0095295,          0.00097496,            0.003862,            0.003862,            0.003862
                  64,             0.02303,           0.0099768,           0.0016261,             0.94088,             0.89165,             0.93951,             0.66707,            0.023311,            0.009655,           0.0010577,            0.003763,            0.003763,            0.003763
                  65,            0.022305,            0.010301,           0.0014194,             0.94268,             0.90579,             0.93759,             0.66579,            0.023676,           0.0097616,          0.00088972,            0.003664,            0.003664,            0.003664
                  66,            0.022424,           0.0096389,           0.0017008,              0.9565,             0.87698,             0.93391,             0.67629,            0.023173,           0.0097757,           0.0011465,            0.003565,            0.003565,            0.003565
                  67,            0.022577,            0.010086,           0.0015685,             0.92722,             0.87702,             0.92217,             0.66897,             0.02382,            0.010282,           0.0010268,            0.003466,            0.003466,            0.003466
                  68,            0.022269,           0.0098637,           0.0017273,             0.91461,             0.91021,             0.93686,             0.68588,            0.023022,           0.0094925,          0.00099405,            0.003367,            0.003367,            0.003367
                  69,            0.022197,           0.0094332,           0.0015097,             0.95595,              0.8862,             0.92724,             0.67111,            0.023121,           0.0096303,          0.00079586,            0.003268,            0.003268,            0.003268
                  70,            0.021737,           0.0097745,           0.0012634,             0.93951,              0.8795,             0.93538,             0.67413,            0.023028,           0.0097477,          0.00072571,            0.003169,            0.003169,            0.003169
                  71,            0.020784,           0.0092352,           0.0012943,             0.97137,             0.86657,             0.93756,             0.67576,            0.023015,           0.0095271,          0.00063128,             0.00307,             0.00307,             0.00307
                  72,            0.021236,           0.0094542,            0.001483,             0.96141,             0.87286,             0.93786,             0.67283,            0.023087,           0.0095519,          0.00099295,            0.002971,            0.002971,            0.002971
                  73,             0.02073,           0.0091536,           0.0014878,             0.96694,             0.89465,             0.94728,             0.68008,              0.0232,           0.0092981,          0.00091353,            0.002872,            0.002872,            0.002872
                  74,             0.02102,           0.0095651,           0.0012252,             0.97894,             0.87822,             0.94812,              0.6916,            0.022277,           0.0092572,          0.00067307,            0.002773,            0.002773,            0.002773
                  75,            0.020561,           0.0092283,           0.0012607,             0.96114,             0.88086,             0.93811,             0.68064,            0.022725,           0.0095095,          0.00063908,            0.002674,            0.002674,            0.002674
                  76,            0.020671,           0.0092587,           0.0012582,             0.97519,              0.8689,             0.93924,             0.68035,            0.022892,           0.0093972,          0.00074545,            0.002575,            0.002575,            0.002575
                  77,            0.020587,           0.0093376,           0.0013058,             0.94062,             0.90056,             0.94307,             0.68498,            0.022942,            0.009277,          0.00050653,            0.002476,            0.002476,            0.002476
                  78,            0.020368,           0.0089569,           0.0011769,             0.96034,             0.88602,             0.94325,             0.69106,            0.022446,           0.0093418,          0.00069656,            0.002377,            0.002377,            0.002377
                  79,             0.02045,           0.0091875,           0.0011769,             0.94144,             0.91939,             0.94726,             0.69603,            0.022051,           0.0091373,          0.00053214,            0.002278,            0.002278,            0.002278
                  80,            0.020058,           0.0089926,           0.0010624,             0.95635,             0.91153,             0.94531,             0.69443,            0.022603,           0.0092071,          0.00055936,            0.002179,            0.002179,            0.002179
                  81,            0.019836,           0.0092367,           0.0012659,              0.9241,             0.90115,             0.94231,             0.67946,            0.022953,           0.0094557,           0.0011274,             0.00208,             0.00208,             0.00208
                  82,             0.02012,           0.0092044,           0.0015529,             0.94359,             0.90465,             0.94805,             0.69071,            0.022282,           0.0092989,          0.00062525,            0.001981,            0.001981,            0.001981
                  83,            0.019302,           0.0088544,          0.00097367,             0.93021,             0.92884,             0.94908,             0.69792,            0.021851,           0.0090227,          0.00055837,            0.001882,            0.001882,            0.001882
                  84,            0.019435,           0.0088228,           0.0010522,              0.9544,             0.90049,             0.95499,             0.70312,            0.021911,           0.0089203,           0.0005449,            0.001783,            0.001783,            0.001783
                  85,             0.01903,           0.0089698,           0.0011634,             0.94507,              0.9101,             0.94592,             0.69244,            0.022132,           0.0091522,          0.00063978,            0.001684,            0.001684,            0.001684
                  86,            0.019144,           0.0088704,           0.0010206,             0.96992,             0.90103,             0.95314,             0.70219,            0.021836,           0.0087459,          0.00038271,            0.001585,            0.001585,            0.001585
                  87,             0.01872,           0.0087997,           0.0011399,             0.96947,              0.9041,             0.95305,             0.71207,            0.021611,             0.00875,          0.00034517,            0.001486,            0.001486,            0.001486
                  88,            0.018966,           0.0089049,           0.0009793,             0.95993,             0.92272,             0.95379,             0.71223,            0.021416,           0.0087707,          0.00047683,            0.001387,            0.001387,            0.001387
                  89,            0.019201,           0.0088884,          0.00097443,             0.95909,             0.91327,             0.95639,             0.70696,            0.021679,           0.0087671,          0.00046774,            0.001288,            0.001288,            0.001288
                  90,            0.018542,           0.0087529,          0.00089352,             0.97056,             0.90654,             0.95357,             0.70661,             0.02163,           0.0089777,          0.00046624,            0.001189,            0.001189,            0.001189
                  91,            0.018531,           0.0084873,          0.00099562,             0.95417,             0.92272,              0.9539,             0.70925,            0.021491,           0.0088432,          0.00046913,             0.00109,             0.00109,             0.00109
                  92,             0.01867,            0.008813,           0.0014428,             0.95071,             0.92272,             0.95474,             0.70479,            0.021718,           0.0088856,          0.00051713,            0.000991,            0.000991,            0.000991
                  93,            0.018382,           0.0083459,           0.0010601,             0.96079,             0.91327,             0.95522,             0.70422,            0.021662,           0.0089157,          0.00056349,            0.000892,            0.000892,            0.000892
                  94,            0.018255,           0.0087233,          0.00093549,             0.96312,             0.91123,             0.95272,             0.70872,            0.021461,           0.0088281,          0.00042878,            0.000793,            0.000793,            0.000793
                  95,            0.018464,           0.0086068,           0.0010547,             0.94113,             0.92578,             0.95678,             0.71564,            0.021116,           0.0086728,           0.0004576,            0.000694,            0.000694,            0.000694
                  96,            0.018307,           0.0084608,          0.00088373,             0.97204,             0.88881,              0.9544,             0.70971,             0.02147,           0.0088825,          0.00036766,            0.000595,            0.000595,            0.000595
                  97,            0.018896,           0.0087956,           0.0011124,             0.94429,             0.91355,             0.95806,             0.70979,            0.021258,           0.0087135,          0.00040614,            0.000496,            0.000496,            0.000496
                  98,            0.017786,           0.0082966,            0.000969,             0.97397,             0.89262,             0.95751,             0.71139,            0.021321,           0.0087086,          0.00044145,            0.000397,            0.000397,            0.000397
                  99,            0.017884,           0.0082107,          0.00099577,             0.93561,             0.91988,             0.95603,             0.70478,            0.021285,           0.0087139,          0.00049477,            0.000298,            0.000298,            0.000298
