               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017023,           0.0069817,          0.00091172,             0.98077,              0.9717,             0.98321,             0.75202,            0.018788,           0.0071273,          0.00050901,             0.00307,             0.00307,             0.00307
                  37,            0.016792,           0.0069907,          0.00090095,             0.97336,             0.97732,             0.98509,             0.75594,            0.018723,           0.0071025,           0.0005736,            0.002872,            0.002872,            0.002872
                  38,            0.016364,           0.0067135,           0.0007943,             0.98763,             0.96559,             0.98467,             0.76039,            0.018591,            0.007014,          0.00047881,            0.002674,            0.002674,            0.002674
                  39,            0.016317,           0.0066342,           0.0008609,             0.97757,             0.97832,             0.98468,             0.75615,            0.018739,           0.0069514,          0.00043631,            0.002476,            0.002476,            0.002476
                  40,            0.016296,           0.0063876,          0.00077475,             0.97708,              0.9722,             0.98446,             0.75604,            0.018698,           0.0069286,          0.00042472,            0.002278,            0.002278,            0.002278
                  41,            0.016208,           0.0069605,          0.00079028,             0.98578,             0.96914,             0.98345,             0.76011,            0.018521,           0.0069581,           0.0003553,             0.00208,             0.00208,             0.00208
                  42,            0.015905,           0.0065185,          0.00074734,             0.98678,             0.97526,             0.98513,             0.76501,            0.018455,           0.0069995,          0.00032506,            0.001882,            0.001882,            0.001882
                  43,            0.015931,           0.0067344,          0.00073553,             0.98688,             0.97501,             0.98479,             0.76417,            0.018206,           0.0069044,          0.00030863,            0.001684,            0.001684,            0.001684
                  44,            0.015493,           0.0064589,          0.00079861,             0.98455,             0.96994,             0.98467,              0.7664,            0.018324,            0.006993,          0.00035536,            0.001486,            0.001486,            0.001486
                  45,             0.01523,           0.0066574,          0.00071662,             0.98505,             0.96773,             0.98529,             0.76392,            0.018302,           0.0070178,          0.00038178,            0.001288,            0.001288,            0.001288
                  46,            0.015007,           0.0063421,          0.00058912,               0.985,             0.97186,             0.98589,             0.76795,            0.018517,           0.0068842,          0.00041045,             0.00109,             0.00109,             0.00109
                  47,            0.015337,           0.0068244,          0.00066621,             0.98337,              0.9722,             0.98576,             0.77009,            0.017943,           0.0069019,          0.00037306,            0.000892,            0.000892,            0.000892
                  48,            0.014874,           0.0065006,          0.00070081,             0.98407,             0.97115,              0.9859,             0.77377,            0.018013,           0.0068707,          0.00034677,            0.000694,            0.000694,            0.000694
                  49,            0.015192,           0.0064262,          0.00081144,             0.98466,             0.96914,             0.98577,             0.77105,            0.017869,            0.006867,          0.00036252,            0.000496,            0.000496,            0.000496
